id,label,realm,group,role,description
miguel,Miguel Rivera,Living,Rivera Family,Aspiring musician,"A twelve-year-old musician who travels to the Land of the Dead and uncovers his family's hidden history."
hector,Héctor Rivera,Dead,Rivera Family,Musician and ancestor,"Miguel's great-great-grandfather, a songwriter trying to return to his family before he is forgotten."
imelda,Mamá Imelda,Dead,Rivera Family,Family matriarch,"The Rivera family matriarch, shoemaker, and Miguel's strong-willed great-great-grandmother."
coco,Mamá Coco,Living,Rivera Family,Keeper of memory,"Miguel's great-grandmother and the daughter of Héctor and Imelda."
elena,Abuelita Elena,Living,Rivera Family,Grandmother,"Miguel's grandmother and the strict enforcer of the Rivera family's ban on music."
enrique,Enrique Rivera,Living,Rivera Family,Father and shoemaker,"Miguel's father, part of the Rivera family's shoemaking tradition."
luisa,Luisa Rivera,Living,Rivera Family,Mother,"Miguel's mother and a member of the close-knit Rivera household."
socorro,Socorro Rivera,Living,Rivera Family,Younger sister,"Miguel's baby sister."
berto,Tío Berto,Living,Rivera Family,Uncle and shoemaker,"Miguel's uncle and one of the many Rivera family shoemakers."
julio,Papá Julio,Dead,Rivera Family,Ancestor,"Mamá Coco's husband and a member of the Rivera ancestors in the Land of the Dead."
victoria,Tía Victoria,Dead,Rivera Family,Ancestor,"A stern Rivera ancestor and Abuelita Elena's sister."
rosita,Tía Rosita,Dead,Rivera Family,Ancestor,"A warm and lively Rivera ancestor."
oscar,Tío Óscar,Dead,Rivera Family,Twin ancestor,"One of Imelda's identical twin brothers."
felipe,Tío Felipe,Dead,Rivera Family,Twin ancestor,"One of Imelda's identical twin brothers."
ernesto,Ernesto de la Cruz,Dead,Music World,Celebrity musician,"Miguel's idol, a celebrated singer whose public legend conceals a betrayal."
frida,Frida Kahlo,Dead,Music World,Artist,"A fantastical artist rehearsing an elaborate performance in the Land of the Dead."
chicharron,Chicharrón,Dead,Music World,Héctor's friend,"An old friend of Héctor who is fading because almost no one remembers him."
dante,Dante,Spirit,Animal Guides,Loyal companion,"Miguel's Xolo dog and loyal companion across both worlds."
pepita,Pepita,Spirit,Animal Guides,Spirit guide,"Mamá Imelda's enormous, colorful alebrije spirit guide."
